gene,log2fc_late_minus_early,pval,qval,significant
ZNF570,-0.2732251126807612,1.9789362261264556e-09,1.9341191410053565e-07,True
DENND11,-0.5200076026534379,2.0003226238055537e-09,1.9454845108992745e-07,True
DIP2C,-0.3767120882586328,2.014704141513028e-09,1.94995976570324e-07,True
HSD3B7,0.5482353597144911,2.0511000651777175e-09,1.9755958019088567e-07,True
HHAT,-0.38318673044014995,2.133438605372837e-09,2.0255475673296963e-07,True
C18orf32,-0.24626973398779728,2.1144373742872007e-09,2.0255475673296963e-07,True
TMEM88,-0.5773544549477068,2.1296269955283705e-09,2.0255475673296963e-07,True
CILP2,0.3968219274328813,2.1564066625087966e-09,2.0376509970189754e-07,True
CIRBP,-0.35894566301197717,2.179701118778392e-09,2.0499472125567722e-07,True
PGRMC2,-0.30848412335070474,2.2914759297045752e-09,2.144950567438959e-07,True
MEGF9,-0.4511377649961128,2.37471332439318e-09,2.191992326932927e-07,True
ENPP4,-0.4993875215277539,2.3662588203463788e-09,2.191992326932927e-07,True
L2HGDH,-0.47902640870033997,2.3536302738306768e-09,2.191992326932927e-07,True
ADCY9,-0.3677938767014086,2.4260616633565444e-09,2.2290699282950593e-07,True
ZNF568,-0.2654904663475939,2.4521325512651395e-09,2.2426889361066217e-07,True
SEC14L1,-0.43879811677862257,2.4873356454205665e-09,2.2644976300637104e-07,True
TACC1,-0.48935554684065696,2.5185334147043607e-09,2.2824781464716155e-07,True
ZNF773,-0.21186455284932482,2.5410425283450925e-09,2.2924572819069889e-07,True
SECISBP2,-0.32252981117354196,2.6237553966719085e-09,2.3564159954434465e-07,True
CCN5,0.6779537333884962,2.6994385869262672e-09,2.4135159886159604e-07,True
RCBTB2,-0.4031649392926884,2.7187214360829215e-09,2.4199048210991646e-07,True
PDCD4,-0.2952638399942371,2.738112344083789e-09,2.4263326185041146e-07,True
ACADSB,-0.5980809050285503,2.847193869407753e-09,2.478923640535012e-07,True
PPM1A,-0.34043604029218866,2.8170296242105848e-09,2.478923640535012e-07,True
PCCA,-0.5531140324488071,2.837105030702481e-09,2.478923640535012e-07,True
TAL1,-0.4852154296176332,2.8270510072624505e-09,2.478923640535012e-07,True
ZNF772,-0.3928768462829777,2.908464608351966e-09,2.508407046245259e-07,True
PTTG1,0.5185762501574507,2.903307940971312e-09,2.508407046245259e-07,True
CYB5D2,-0.32495779956695703,2.9188004550551717e-09,2.508407046245259e-07,True
FAM219B,-0.34354244145341184,2.960502676770652e-09,2.531460160237727e-07,True
ALDH3A2,-0.497122802297282,2.9710185449675393e-09,2.531460160237727e-07,True
PHOSPHO2,-0.3665821227543229,3.0673082085931377e-09,2.6023825984225525e-07,True
SUCLA2,-0.38392039308680026,3.0836521668907056e-09,2.6051634281130036e-07,True
ASXL3,-0.33427055086396984,3.1553939856612818e-09,2.65452511755758e-07,True
GFPT2,0.8395586821411598,3.2004439248683904e-09,2.681111385463276e-07,True
PABPC4L,-0.49896861217957733,3.2345959492587237e-09,2.698383850892068e-07,True
HUS1B,0.13977032008991497,3.266774416084875e-09,2.712479233943299e-07,True
RGCC,-0.5171432503991209,3.2923060217387823e-09,2.712479233943299e-07,True
TMCC3,-0.5420124616420887,3.2864878211260026e-09,2.712479233943299e-07,True
CA4,-0.9272694968120647,3.351018060544084e-09,2.749489633379751e-07,True
KLF9,-0.5106683524161344,3.434930430397667e-09,2.8067886443142904e-07,True
CNNM2,-0.30237766013908773,3.471513367444356e-09,2.813619248784779e-07,True
AP1AR,-0.31962612958845016,3.459278776233456e-09,2.813619248784779e-07,True
VAMP2,-0.33474426404974444,3.520887061587116e-09,2.842082843478701e-07,True
KIAA1614,-0.2945545509928791,3.5835603939724495e-09,2.857961085400908e-07,True
ZNF549,-0.3099011612191278,3.58355005691105e-09,2.857961085400908e-07,True
PITPNC1,-0.3909826217010641,3.5709415264330165e-09,2.857961085400908e-07,True
TNFSF13,-0.479673007789585,3.608936295290889e-09,2.865443345089556e-07,True
