,mean_weight,std_weight,folds_in_top50,abs_mean
CDH4,-0.0035669076541300507,0.00052332400040613,0,0.0035669076541300507
SLC10A6,-0.0035646756519055666,0.000556937167119572,0,0.0035646756519055666
PKD1L1,-0.003563960091622903,0.0008090406351358506,0,0.003563960091622903
FHL1,0.0035635666553723187,0.0006490164848325149,0,0.0035635666553723187
TMEM205,-0.003563142657549542,0.000705077917223455,0,0.003563142657549542
TRHR,-0.003562780561937306,0.0013554813303542708,0,0.003562780561937306
OR1L1,-0.0035623045371203817,0.0013800919048947832,0,0.0035623045371203817
HS3ST2,-0.0035603274465585083,0.001517825733451602,0,0.0035603274465585083
IFNL2,0.003560167293165329,0.001401501586356602,0,0.003560167293165329
C5AR2,-0.0035596072140392657,0.0009067772038597859,0,0.0035596072140392657
